,female_effect_size,female_p_value
Boards,-0.21462479356119085,0.6546977590192977
Deluxe,0.8671935915104234,0.04840204531438452
GOP,-0.8068749601217479,0.9399761241604077
genre,-0.5001405842189891,0.8350031898123029
consulting,-0.7448644450735263,0.9237773700089695
warming,0.04125417378163644,0.4657075021765158
safely,-0.4310765203185848,0.7927874466398566
Elementary,0.4115620327292966,0.21330966155747855
Operations,-0.0349218122434067,0.5288261058872086
bottles,0.4681108368726501,0.18220547130804476
Makes,-0.472044272541712,0.8200979109113586
WHAT,-0.4761086889784954,0.8228869226724431
1-2,-0.6835017195324028,0.906861442341218
trusted,-1.2364414909095565,0.9906383156418513
Potter,-0.7645075135424745,0.9306343208376585
Answers,0.21322570460914655,0.3401678879111275
Dental,-0.6335089830440019,0.8869404167454449
Womens,1.5957097456665363,0.0010569498020639445
Opera,1.131762271051668,0.014102715236009478
territory,0.5074602583215352,0.16146143913099276
Conditions,-0.4674757641363913,0.8158369277299502
celebrity,1.3330740341947933,0.0049267818061536905
Associates,0.25594141397389436,0.3166007976232783
supporters,1.0682404704425428,0.019287199779311814
Newsletter,0.9968955829803958,0.026283969463891554
½,-0.8822137771472991,0.9578712946358172
ate,-0.4146497166086599,0.7815302659383645
photograph,0.6637612996520181,0.09646575653043765
Jefferson,-1.0386542057594323,0.9781292745308992
outfit,0.3473372363278408,0.254586460396637
shaped,-0.01876727332213935,0.522424782817605
Alternative,1.0113688687245252,0.02669695675531314
Scottish,0.2707604437556349,0.296691426760023
Idaho,-0.22922790103563992,0.6677597777502854
Photoshop,0.7507199984362994,0.07310625849596308
frozen,0.06061483155516149,0.4487994421336058
WI,-0.46916982348946457,0.8125557605218893
Tennis,0.2247292297200488,0.33536998866556633
Hour,-0.6092526322807059,0.8812560663856923
Sugar,-0.21618599458167215,0.6675401574649172
Cooper,-0.7710020563835702,0.9358221367008732
wrap,-0.15459621686411995,0.6240090149517132
actress,1.8951724184334446,0.00011159929342585695
emerging,0.5987037982747022,0.12370430238272179
subscribe,-0.5004786104443854,0.8315250573538102
Collins,-0.5426870016110524,0.8462308034124677
Birmingham,-0.07099529448808778,0.5508229177929661
hockey,-0.529894910331636,0.849036346177414
airline,1.0858231645018945,0.018725061620915917
carries,0.20987080492208923,0.339046461753149
Yesterday,-0.18999268899136615,0.639966901460984
hired,-0.7023823539575864,0.9119713278003834
Marc,-1.5049434868466935,0.9981633991450719
beautifully,0.6227852954080016,0.1178094642022065
spin,-0.8758548159001556,0.9556381704209208
Donald,-1.5090503770790373,0.9982445528161811
extraordinary,-0.39863417182795485,0.778963943083565
Corp.,-0.7163625153536168,0.9151664654004295
123,-0.5609063722648556,0.8595519779241286
consultation,0.11794024654171988,0.41473809483525925
OFF,-0.7305605145160494,0.9199974591291737
Planet,-0.253396963695042,0.684936345571171
Palace,-0.3134694836414862,0.7170203804563067
handy,-0.6954313346230458,0.9119519110673846
Ashley,1.4852917646293304,0.0021022568986223122
Boat,-0.5556764472739678,0.8593940649520067
=),-0.6360652082461898,0.8904462192051648
overseas,0.3673013223107548,0.2393513043391925
focuses,-0.37332588266829425,0.7683857943085329
defeat,0.0011243794062323483,0.4989227203262837
107,-0.7513949092485739,0.9246204584602782
Walter,-1.205068052585518,0.9901851477773431
magazines,0.3389411091986638,0.2551205226105906
Tyler,-1.2424306804300447,0.9918785180932391
deaths,0.09286621448377821,0.4258957834585897
pockets,0.8038990732145678,0.05720635599999124
honey,0.5801289088985072,0.1301498509832979
yoga,0.44927207361432037,0.19203948952481187
Dealers,0.8286612250058418,0.05230353129290921
suggestion,0.828973867686574,0.057295375331377296
hospitals,0.6884868646828507,0.0925097563115167
blank,-0.7281358232280978,0.9196919078016723
Toy,-0.7824451828773095,0.9337705747917623
Gardens,0.4519156604136173,0.18918966897580236
Storm,-0.3290314244371,0.7394413982295446
delivering,0.7169755273198061,0.08322723679162058
diagnosis,0.40916779269076503,0.2072725090928922
Furthermore,0.028473164970847686,0.48339554445997046
ton,-1.1383143973610492,0.9861580086359965
adoption,0.7397322952727784,0.07581056326362146
followers,1.0303508814627156,0.022284774284085485
1978,-0.6651533225174439,0.9020934409365172
odds,-1.143595578162775,0.9872926241026516
Password,-0.18711504733656356,0.6446236532579681
toilet,0.3304417352271161,0.25637728355986145
Pizza,0.9674187181147837,0.029560935792018683
Past,-0.864229703337442,0.9524781807516493
consultant,-0.43972405987418206,0.8046703833921132
hence,-0.28100701189180366,0.7030021993889388
roughly,-0.5525890050034372,0.8632326578969153
acquire,-0.16344935846280365,0.6256428813243563
Rev.,-0.53854174767452,0.8555816842051267
silent,0.4917272817362396,0.17278187886830598
buried,-0.7678196968435345,0.9308633130084965
integrity,0.8018512152149524,0.06092753088923797
skilled,-0.6528405983277126,0.8954188083033007
arrest,-0.16105282777631075,0.6227614387811569
export,-0.09062460813221972,0.5655129871493397
settle,-0.3198305655878883,0.7368751479827591
Growth,0.15898453676817412,0.3865451587361022
scenario,-0.2968716721011982,0.7193096667554181
Distance,0.8466963998336665,0.05051670376031281
manufactured,-0.4361837688504384,0.7954066819203761
alleged,-0.41541027756649596,0.7869417303791346
160,-0.7024552242998903,0.9151766647108069
paragraph,-0.3790793420095341,0.7634858858299036
à,-0.9667595372853747,0.9692263194309171
grey,-0.5796591739278113,0.8714824796676728
nearest,0.2544264739033793,0.31564355499922847
magnetic,-0.33925187055555683,0.742159182517401
Harvard,-0.14871529060699906,0.6142339396172566
hungry,0.013415930913447246,0.4903774331655
gang,-0.5713587578870107,0.8680003310616575
sophisticated,0.2628054295776761,0.3030498512496653
qualify,-0.7248469380241441,0.9190014264461233
Transfer,-0.7109817169225375,0.914033069071412
dialogue,0.6169166946090021,0.1140050418823435
chemicals,0.5456005936235723,0.14661751964359193
Definition,-0.4967009373709735,0.8322922130494654
generations,1.523982890915098,0.001521759750712448
intent,-1.4258921623666456,0.9969538027058299
producers,0.5130653667469943,0.16616686234162836
Sandy,0.9038670584445321,0.03865617744707006
promotional,-0.11629522575342226,0.5891694742090263
protest,-0.0933361934997625,0.5673756494026766
examine,-0.52532178535451,0.843678382708222
Parks,-0.989335054793697,0.9714150957288153
remind,-0.5971736923150759,0.8753167674016412
Crime,-0.42537848145060525,0.7887145363262433
Holidays,0.8910195292462332,0.04271721989806554
