,word,female_effect_size,p_value,pos
60879,Nutella,0.9123668473173604,0.0333438877229625,"[""Nutella""/PUNCT]"
60883,mannequin,0.9492869943034108,0.0282040136340469,"[""mannequin""/PUNCT]"
60898,masquerade,0.9554166473319242,0.0275659899557357,"[""masquerade""/INTJ]"
60902,v-neck,0.9759112187303084,0.0268506161408751,"[""v-neck""/PUNCT]"
60931,Ester,0.9020856662856775,0.0359728874544258,"[""Ester""/PROPN]"
60953,Aunty,1.1698415478233406,0.0094417487062932,"[""Aunty""/ADJ]"
60959,DASH,1.4590130497723144,0.0017754740868902,"[""DASH""/INTJ]"
60961,iridescent,1.2220898710579966,0.0073969981060626,"[""iridescent""/INTJ]"
60969,Mariposa,1.0691350597447855,0.0153971550126987,"[""Mariposa""/INTJ]"
60981,(213),1.111088819483144,0.013370139467137,""")""/PUNCT]"
60989,lindsay,1.396034822043189,0.0028156187311174,"[""lindsay""/INTJ]"
61030,Kaylee,1.235161929455871,0.0064026203858857,"[""Kaylee""/INTJ]"
61032,quickie,1.0476500755206777,0.0172878697970555,"[""quickie""/INTJ]"
61040,Chats,0.9430875802918338,0.0290094317788081,"[""Chats""/NOUN]"
61047,lux,0.8693983038678442,0.040345830012316,"[""lux""/X]"
61073,Irma,1.102207584804432,0.0125708432294242,"[""Irma""/INTJ]"
61076,gurl,0.941880781526472,0.029486009079725,"[""gurl""/INTJ]"
61092,soulmate,1.3332429989779195,0.0038237778219798,"[""soulmate""/INTJ]"
61098,Edina,1.1566573565274412,0.0103466113755552,"[""Edina""/INTJ]"
61118,sunflowers,1.0183106330069511,0.0196985127031348,"[""sunflowers""/NOUN]"
61131,Scavenger,1.1155436879461391,0.0122040011564519,"[""Scavenger""/INTJ]"
61133,allnurses.com,1.2416856590656618,0.0072038848434538,"[""allnurses.com""/X]"
61141,stepmother,0.8279487587364536,0.0472318995636569,"[""stepmother""/INTJ]"
61150,ASH,0.9258024952944576,0.0329116455910275,"[""ASH""/NUM]"
61152,Trudy,1.4591118633290927,0.0017753114158325,"[""Trudy""/INTJ]"
61160,showerhead,0.8659890302129498,0.041187451532075,"[""showerhead""/INTJ]"
61161,Vases,1.1093359809633734,0.0136419610644309,"[""Vases""/NOUN]"
61182,Fave,1.103655513822221,0.0137452824651244,"[""Fave""/INTJ]"
61185,Torchwood,1.0276479600120414,0.02056208320503,"[""Torchwood""/NUM]"
61187,Computerized,0.9719582713552976,0.0255230182213972,"[""Computerized""/VERB]"
61194,Lookbook,1.2266196745266789,0.0070957677445164,"[""Lookbook""/INTJ]"
61215,Darla,1.2890778123600923,0.0051904896847476,"[""Darla""/PUNCT]"
61221,conjugated,0.95098330778304,0.0299206021486929,"[""conjugated""/INTJ]"
61224,Breathtaking,1.1372904590100446,0.0113955901848712,"[""Breathtaking""/ADV]"
61225,Mantel,1.1793631936110869,0.0084420502021401,"[""Mantel""/INTJ]"
61226,Brocade,1.4487146582819166,0.0018155713899489,"[""Brocade""/INTJ]"
61230,Ponies,0.902053874591674,0.0356999500428618,"[""Ponies""/NUM]"
61234,Ruined,1.0403965013759848,0.0182826977905915,"[""Ruined""/INTJ]"
61238,MSF,1.2639428272018738,0.0056842460277908,"[""MSF""/NUM]"
61243,ravishing,1.5995574572912967,0.0007416421756576,"[""ravishing""/INTJ]"
61245,microfinance,1.157954149331187,0.010570396722345,"[""microfinance""/NOUN]"
61249,Alternately,0.9325264913443247,0.0317031289395899,"[""Alternately""/ADV]"
61269,possessive,1.2656549703951594,0.0053052896499459,"[""possessive""/INTJ]"
61296,Dianna,1.5080085499981848,0.0012108075283044,"[""Dianna""/INTJ]"
61300,✿,1.2386985604883494,0.0073959316331629,"[""✿""/SYM]"
61303,Celina,0.8540321657883259,0.0449879335332391,"[""Celina""/PUNCT]"
61307,Mena,1.0665717779289374,0.0164043595444659,"[""Mena""/PUNCT]"
61321,upmarket,1.3136304906458702,0.0041556238233544,"[""upmarket""/INTJ]"
61341,guestroom,1.100339383179043,0.0132674177691558,"[""guestroom""/NOUN]"
61344,Zooey,1.54365068736933,0.0010592164062935,"[""Zooey""/INTJ]"
61345,Rhoda,1.038030956287348,0.0200928181701145,"[""Rhoda""/INTJ]"
61348,Putney,0.8376947559740217,0.046600476111119,"[""Putney""/INTJ]"
61352,Chime,0.8751099984908379,0.0382680853316684,"[""Chime""/INTJ]"
61356,bdrm,0.8768514329718082,0.037584410721032,"[""bdrm""/INTJ]"
61366,RANDOM,1.1256577261337666,0.0124308301115809,"[""RANDOM""/PROPN]"
61369,Intentions,1.3079254619070373,0.0043769861000847,"[""Intentions""/INTJ]"
61373,Expedited,1.0122974969134972,0.022661410178056,"[""Expedited""/INTJ]"
61376,RUSSIAN,0.8541996630978451,0.0438752332553739,"[""RUSSIAN""/INTJ]"
61414,Giselle,1.6320512709500234,0.0005930690383868,"[""Giselle""/INTJ]"
61420,crafters,1.15454246191835,0.0103107338966267,"[""crafters""/NOUN]"
61433,Artichoke,1.539228903926497,0.0008607325979652,"[""Artichoke""/INTJ]"
61435,Virgins,1.2091611344802695,0.0076838503002807,"[""Virgins""/INTJ]"
61439,Luisa,1.321714079434156,0.0041436958096546,"[""Luisa""/PROPN]"
61442,teacup,1.2331552497662468,0.0070843296488547,"[""teacup""/NOUN]"
61454,CELEBRITY,1.5628866593766575,0.0009036820935507,"[""CELEBRITY""/INTJ]"
61462,Princesses,1.363353754709613,0.0032100784092505,"[""Princesses""/NOUN]"
61469,DAWN,1.7472223026959832,0.0002484354540861,"[""DAWN""/INTJ]"
61479,advisories,1.555475899071996,0.0008109149889308,"[""advisories""/NOUN]"
61481,sepsis,1.103719526322363,0.0129392956670695,"[""sepsis""/INTJ]"
61497,beautify,0.8232147893507736,0.0499640698259591,"[""beautify""/INTJ]"
61498,Kaur,1.351505829935237,0.0031385088948735,"[""Kaur""/INTJ]"
61513,Joann,0.9349498898730558,0.0310966594326204,"[""Joann""/INTJ]"
61519,Coordinated,1.306852332878538,0.0044771395659076,"[""Coordinated""/INTJ]"
61522,Dao,0.8651725804871264,0.0404789988094042,"[""Dao""/PROPN]"
61526,Roommate,0.8213878006767132,0.0491399795603277,"[""Roommate""/NOUN]"
61529,Tupperware,1.4230183355827102,0.0021250182091734,"[""Tupperware""/INTJ]"
61540,Pedicure,1.5870065297256033,0.0008749950337048,"[""Pedicure""/INTJ]"
61557,Wore,1.0105970834161309,0.0212141648354465,"[""Wore""/VERB]"
61575,methylation,1.0010084271781332,0.0241126370514794,"[""methylation""/NOUN]"
61577,PAPERBACK,1.2736066023099086,0.0049163226657439,"[""PAPERBACK""/INTJ]"
61579,benz,1.074539468783,0.0158402091031727,"[""benz""/INTJ]"
61604,corsets,1.304308952372107,0.0042286011279857,"[""corsets""/NOUN]"
61607,Deirdre,1.2844082154667351,0.0048210116297806,"[""Deirdre""/INTJ]"
61608,Nuvi,1.1463028972533258,0.0105702089376513,"[""Nuvi""/PUNCT]"
61612,QUARTER,0.916947406517946,0.0308114853851747,"[""QUARTER""/NOUN]"
61616,M&S,1.441538267811745,0.001972069928167,"""S""/PUNCT]"
61630,Shawna,1.4434411019193203,0.0020957618048481,"[""Shawna""/PROPN]"
61631,IRIS,1.448425983224999,0.0020071630312882,"[""IRIS""/INTJ]"
61644,fixated,0.8300116534401288,0.0483019372152415,"[""fixated""/INTJ]"
61650,Creamer,0.9724985978579912,0.0253060881337711,"[""Creamer""/PROPN]"
61654,SNSD,1.357672331763036,0.0035868075626078,"[""SNSD""/INTJ]"
61655,VILLA,0.857874672623752,0.0442803213083545,"[""VILLA""/INTJ]"
61660,crepes,0.9659381894785244,0.0254275955765329,"[""crepes""/NOUN]"
61667,2008-2013,0.9973960907655772,0.0237331756720702,"[""2008-2013""/NUM]"
61668,lass,0.974154010924302,0.0261504992311798,"[""lass""/X]"
61672,duets,0.884246103631611,0.0376304468807994,"[""duets""/NOUN]"
61683,LACE,1.565526738457761,0.0007674812127156,"[""LACE""/INTJ]"
61685,Slips,1.397512987220742,0.00264672214525,"[""Slips""/SYM]"
61696,presentable,0.9290825530784356,0.0319077795950389,"[""presentable""/INTJ]"
61698,afghan,0.9835063388762184,0.0246114227263799,"[""afghan""/NOUN]"
61702,COS,1.6216234595653278,0.0005705783224423,"[""COS""/NOUN]"
61704,Shania,1.678464408396782,0.000374249141273,"[""Shania""/INTJ]"
61708,Papaya,1.3719019256062703,0.0029995029677363,"[""Papaya""/INTJ]"
61715,diana,1.3459580650570169,0.0036536677622753,"[""diana""/INTJ]"
61723,FANCY,1.0603066378211237,0.0160950471662857,"[""FANCY""/SYM]"
61734,(608),0.8689908742829993,0.0396349064794036,""")""/X]"
61743,Alanis,1.736898397703514,0.000230470292195,"[""Alanis""/INTJ]"
61744,Janes,1.3257419346392252,0.0038583361662805,"[""Janes""/INTJ]"
61772,Q5,0.8205525609121995,0.0493406310170476,"[""Q5""/SYM]"
61773,sizzle,0.873739518185228,0.0382083545727112,"[""sizzle""/VERB]"
61774,Asin,1.4687540706596256,0.0017508022783286,"[""Asin""/PUNCT]"
61792,Geisha,1.1267365898195272,0.0112620989964975,"[""Geisha""/INTJ]"
61795,CorporationSystem,1.0550196587502976,0.0181558915881544,"[""CorporationSystem""/NOUN]"
61796,Liechtenstein,0.9040663715403218,0.0367936368269936,"[""Liechtenstein""/INTJ]"
61797,Neko,1.0455607116842232,0.0178186140944437,"[""Neko""/PUNCT]"
61799,LCC,1.2908710554743958,0.0049593722841937,"[""LCC""/PROPN]"
61801,SPEAK,0.876735202448807,0.0391154435331425,"[""SPEAK""/VERB]"
61806,Kubuntu,0.8943259664732418,0.036615475174962,"[""Kubuntu""/INTJ]"
61835,Mirrored,1.1322381576440674,0.0114630624581548,"[""Mirrored""/INTJ]"
