,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"""41""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.4001914466902166
"""42""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.4187605041670612
"""43""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.2686727840316223
"""44""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.716842327583414
"""45""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.484064339256023,-1.484064339256023
"""46""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.1429667767576768
"""47""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.379192325752806
"""48""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.4739281361397714
"""49""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.0960940519804436
"""5""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.3586247198660109,-1.3586247198660109,-1.3586247198660109
"""5""/SYM]",0,0,0,0,3,4,N/A,N/A,N/A,N/A,-0.9771439741157234,-0.9597366089738739
"""5.0""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""5.1""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""50""/SYM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.0049484991507065,-1.0049484991507065
"""500""/SYM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.1077899100146689,-1.1077899100146689
"""51""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.1678414739951197
"""52""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-0.9214053553594638
"""53""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.3565198674351058
"""54""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.3081681004931611
"""55""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""55""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.1659635012483407
"""56""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.2756127794062198
"""57""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""57""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.3859740795534974
"""58""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.5178882690037117
"""59""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.1468398772319497
