,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"[""PX""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PZ""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pa""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pablo""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pac""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pac-10""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pac-12""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pac-Man""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pacers""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pacifica""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.158546174315482,1.158546174315482
"[""Pacino""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pack""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Packer""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Packers""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Packs""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pacman""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Paco""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pacquiao""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Padded""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,1.0407101694915062,1.0407101694915062,1.0407101694915062
"[""Paddy""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Padlock""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.1451864169127373
"[""Padma""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.1969547460928327
"[""Padre""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Padres""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pageant""/NOUN]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.551829044706331,1.551829044706331
"[""Pageviews""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,0.9126557501595748,0.9126557501595748
"[""Pagoda""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.9949846140723302
"[""Paige""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,1.1843837279281633,1.1843837279281633,1.1843837279281633
"[""Painful""/ADJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.4394533884328635,1.4394533884328635
"[""Paintball""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Painted""/VERB]",0,0,0,1,1,1,N/A,N/A,N/A,0.9296904188703768,0.9296904188703768,0.9296904188703768
"[""Pak""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Paladin""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Palate""/VERB]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.9401279956167552
"[""Palestine""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Palestinians""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Palette""/PUNCT]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.4757201950466283,1.4757201950466283
"[""Palmas""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.8323364829493396
"[""Palmerston""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Paloma""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.227942498235694,1.227942498235694
"[""Paltrow""/PUNCT]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.460947616101837,1.460947616101837
"[""Pam""/INTJ]",0,0,1,1,1,1,N/A,N/A,1.277337150162984,1.277337150162984,1.277337150162984,1.277337150162984
"[""Pamela""/PUNCT]",0,0,0,1,1,1,N/A,N/A,N/A,1.5322283494262956,1.5322283494262956,1.5322283494262956
"[""Pamper""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.4369430706905633
"[""Pampered""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.6562361477729308
"[""Pampers""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.9861383921843904
"[""Panache""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.729809506226913
"[""Pandit""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pandora""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,1.5183973460957128,1.5183973460957128,1.5183973460957128
"[""Pane""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Panettiere""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.4172539476074386
"[""Panini""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pansy""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.3361184888289577
"[""Panther""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Panthers""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Panties""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,1.3754040473883051,1.3754040473883051,1.3754040473883051
"[""Pantry""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,0.8859700119049253,0.8859700119049253
"[""Panty""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.1062672468179406,1.1062672468179406
"[""Pantyhose""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,1.1054692730939577,1.1054692730939577,1.1054692730939577
"[""Panzer""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Paola""/PROPN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.2963252257663764
"[""Paolo""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Papal""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Paparazzi""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.4830227537124043
"[""Papaya""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.3719019256062703
"[""Paprika""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.3983653110211085
"[""Paquin""/PUNCT]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.3402382324897726
"[""Par""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Parades""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.902786956226128
"[""Paragon""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,0.8524815358363963,0.8524815358363963
"[""Paralegal""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.2998340316798045,1.2998340316798045
"[""Parallel""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Paranoid""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Paranormal""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,1.3491498742969128,1.3491498742969128,1.3491498742969128
"[""Parchment""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.0799122987585168
"[""Pardon""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Parenthood""/NOUN]",0,0,0,1,1,1,N/A,N/A,N/A,1.2550145791188076,1.2550145791188076,1.2550145791188076
"[""Parenting""/VERB]",0,0,0,1,1,1,N/A,N/A,N/A,0.8606748503705106,0.8606748503705106,0.8606748503705106
"[""Parfum""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.4986696148342296,1.4986696148342296
"[""Parisian""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.0682719223058816,1.0682719223058816
"[""Parkour""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Parlor""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.0058618672293482,1.0058618672293482
