,female_effect_size,female_p_value
unscrupulous,-0.4176086588618903,0.7989840998365978
unseat,-0.9123494622425391,0.965627264293977
unseen,-0.3186726140945383,0.7393341191022963
unselfish,-0.8680672773911752,0.9587325712432055
unsettled,-0.46346768531131,0.8267914798776572
unsightly,-0.08647356863247227,0.5691692760846734
unsolicited,-0.21597676373515434,0.6645778636139361
unsolved,0.807201861373653,0.05140791646494558
unsophisticated,0.0032702088151412233,0.4920299260304648
unsound,-0.5483793504800122,0.867667659362269
unspeakable,-0.26808861854289767,0.705466914761793
unspecified,-0.08007610033287445,0.566117945703394
unspoken,0.08005193846462454,0.4391466818468147
unstable,-0.4858716616152411,0.8344863261141744
unsteady,0.017674837097368827,0.48577368642217456
unstoppable,-0.622240202092101,0.8984674879263096
unsuccessful,-0.681640673909949,0.9095979870823243
unsuitable,0.4677930801339924,0.17520636141574897
unsung,-0.5084338376781214,0.846670556784792
unsupervised,0.0007944309171556455,0.5069642050642742
unsupported,0.18591758558119253,0.3505007058862383
unsure,0.1701425209509031,0.36816045640861716
unsurpassed,-0.36743909419172,0.770617128645892
unsuspecting,-0.35128963891553733,0.7535019176636598
unsustainable,-0.6170444023305437,0.8901609899257532
unsweetened,1.3597213247092519,0.0036531439476471528
unsympathetic,0.4840896598659319,0.16551227036896665
untamed,-0.043224516306687735,0.5353774921172147
untenable,-0.5057259151379274,0.8433418395617882
untested,-0.9543876550520699,0.9719989418712974
unthinkable,0.3018013810509619,0.27724884687745477
untidy,0.24177817339178437,0.3138583870944407
untie,-0.4852828090301113,0.8365649415425687
untimely,-0.17860989080199025,0.641376867599379
untitled,0.5515474567217656,0.1349588769956802
untold,-0.03627107131867639,0.5283087278154648
untouchable,-0.6387334176801227,0.8978945446915394
untouched,0.27085034484968706,0.3015080032688129
untoward,-0.23820942116148133,0.6874004764270538
untraceable,-0.44753827621453807,0.8148846506394873
untrained,0.0705819539122443,0.4399697982957682
untranslated,-0.8578471109670349,0.9546320310267647
untroubled,-0.8249812454000126,0.9503921340947556
untrue,-0.07449744377808781,0.5676897262579939
untrustworthy,-0.30795842479929525,0.7271299896924202
unturned,-0.5581698718012288,0.8668600804020412
unused,0.1420333609991323,0.3865982676581383
unusual,0.36385232134120316,0.2358996154556674
unusually,-0.0762851272501345,0.5658370056789312
unutterable,-0.5210047597425661,0.8485973540389529
unveil,-0.23974790997633702,0.6834838426103917
unveiling,-0.20609184581145978,0.6583699186707703
unverified,-0.4181668568646206,0.8007481327338366
unwanted,0.1100412649176731,0.41530712608226383
unwarranted,-0.5970519451562217,0.8857233044912879
unwary,-0.7337968997014213,0.9306855218799249
unwashed,-0.5206820939395199,0.8492160439315068
unwavering,-0.11317156307258856,0.5877775843597295
unwed,0.9581903746419904,0.028310164959710726
unwelcome,0.1597792348192617,0.375227542895044
unwell,0.03625784157404981,0.4661361018052901
unwilling,-0.4892727526902578,0.8341133819108888
unwillingly,-0.16748780744646127,0.6255697121489939
unwillingness,-0.3138439273887549,0.7288977643645791
unwind,0.17324112212385903,0.36432493133694865
unwise,-0.727849395799337,0.9257554333510057
unwitting,-0.29767902608794017,0.725060777616384
unwittingly,-0.21787645027017144,0.6646631809387102
unworthy,-0.6677028008053177,0.9064505263582667
unwrap,-0.18512527124765688,0.6426502623492071
unwritten,-0.11567258877893663,0.5941428911477766
unyielding,-0.1704809296814851,0.6317421834512198
unzip,0.05149817678556668,0.45381197913986515
upbeat,0.5191256401592333,0.1438399210614686
upbringing,-0.21639647170877477,0.6712731276359306
upcoming,0.1330272215400244,0.39487412002359656
update,0.20226414879644464,0.3491208582901899
upgrade,-0.48570779991718294,0.8286824179383163
upheaval,0.0633907418127513,0.4529137383650743
uphill,-0.4723628572395795,0.8256213914624863
uphold,-0.10784178185444059,0.5874391100075427
upholstery,0.8029614322140648,0.051706778249970275
